"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"Cldn5",0,9.89063228391011,0.941,0.02,0,"Cldn5"
"Itm2a",0,7.55768356784257,0.936,0.048,0,"Itm2a"
"Flt1",0,10.0103081578162,0.866,0.004,0,"Flt1"
"Igfbp7",0,8.5991399419864,0.869,0.015,0,"Igfbp7"
"Ly6c1",0,9.85620600205216,0.827,0.006,0,"Ly6c1"
"Gng11",0,5.20047517202693,0.855,0.048,0,"Gng11"
"Egfl7",0,5.68907217913237,0.88,0.082,0,"Egfl7"
"Epas1",0,4.80795505898549,0.84,0.061,0,"Epas1"
"Rgs5",0,8.04310287141076,0.79,0.025,0,"Rgs5"
"Klf2",0,6.13053632691236,0.77,0.04,0,"Klf2"
"Slco1a4",0,9.92369163899868,0.733,0.005,0,"Slco1a4"
"Pglyrp1",0,7.67975251001881,0.744,0.019,0,"Pglyrp1"
"Pltp",0,6.0370218698865,0.746,0.024,0,"Pltp"
"Slco1c1",0,4.41072180817833,0.785,0.072,0,"Slco1c1"
"Kdr",0,7.74747256394529,0.707,0.011,0,"Kdr"
"Slc7a1",0,5.86378191887125,0.768,0.078,0,"Slc7a1"
"Ptprb",0,7.92055997795014,0.698,0.009,0,"Ptprb"
"Esam",0,8.3520132125992,0.694,0.007,0,"Esam"
"Ifitm3",0,5.35636582729184,0.718,0.032,0,"Ifitm3"
"Cd34",0,7.33168388083644,0.694,0.012,0,"Cd34"
"Ctla2a",0,9.26210971664629,0.687,0.007,0,"Ctla2a"
"9430020K01Rik",0,6.5623249860219,0.705,0.026,0,"9430020K01Rik"
"Adgrl4",0,9.93767115094606,0.68,0.002,0,"Adgrl4"
"Eng",0,7.8489246295168,0.685,0.007,0,"Eng"
"BC028528",0,7.39694325932877,0.683,0.01,0,"BC028528"
"Vwa1",0,5.72431054307174,0.702,0.032,0,"Vwa1"
"Car4",0,6.27300817975373,0.711,0.046,0,"Car4"
"Ets1",0,6.79519642847983,0.678,0.015,0,"Ets1"
"Slc16a1",0,5.5443697757192,0.74,0.084,0,"Slc16a1"
"Adgrf5",0,9.60896885196119,0.648,0.002,0,"Adgrf5"
"Slc9a3r2",0,4.89720027315198,0.722,0.079,0,"Slc9a3r2"
"Slc2a1",0,5.23226151299607,0.683,0.044,0,"Slc2a1"
"Ebf1",0,6.80864956728474,0.641,0.012,0,"Ebf1"
"Fn1",0,6.63243952329887,0.639,0.019,0,"Fn1"
"Id1",0,4.3437815954564,0.687,0.069,0,"Id1"
"Slc22a8",0,8.63719697281446,0.611,0.004,0,"Slc22a8"
"Col4a1",0,5.79750130446485,0.619,0.028,0,"Col4a1"
"Ccdc141",0,5.71792520063128,0.604,0.02,0,"Ccdc141"
"Kank3",0,5.00769338268255,0.639,0.058,0,"Kank3"
"Sgms1",0,4.7033848624091,0.646,0.068,0,"Sgms1"
"Fcgrt",0,4.42253452023114,0.621,0.044,0,"Fcgrt"
"St3gal6",0,5.27278812160925,0.604,0.027,0,"St3gal6"
"Serpinh1",0,3.97290350180662,0.652,0.09,0,"Serpinh1"
"Lmo2",0,4.19349274555531,0.613,0.074,0,"Lmo2"
"Vamp8",0,3.33881228184113,0.604,0.073,0,"Vamp8"
"Tfrc",0,3.84899683320543,0.611,0.097,0,"Tfrc"
