,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gdpd3,4.88371481706057e-32,8.05230619957727,0.431,0.01,9.49589509029257e-28
Gm8730,5.21538802452807e-32,2.73575228425324,0.762,0.28,1.01408004748924e-27
Rps29,8.28209629299299e-31,0.783591854687822,1,1,1.61037080320956e-26
Sparc,1.77845779559649e-22,-1.1639733640705,0.815,0.974,3.45803333775781e-18
Gm10076,4.86225397309216e-20,1.32366402524774,0.892,0.786,9.4541666252804e-16
Serpinh1,1.22035424995795e-18,-2.10491687993516,0.215,0.72,2.37285680361824e-14
mt-Co3,2.62399064986845e-18,0.445989851950317,1,1,5.10208741960421e-14
Ppic,5.40275645029668e-18,-3.92568057272411,0.038,0.484,1.05051196419569e-13
Crip1,7.60694776330431e-18,1.64940697780125,0.723,0.411,1.47909492309689e-13
Rps27,2.60530215612526e-17,0.62747805376099,1,1,5.06574951236996e-13
Tuba1a,1.81249280106187e-16,-1.41148289352017,0.292,0.743,3.5242110023847e-12
H3f3b,2.10129209835852e-16,-0.713766263342366,0.954,0.997,4.08575235604831e-12
Mt1,3.44392044474201e-15,1.98631436756829,0.831,0.615,6.69635891275636e-11
Rpl21,4.17732154173767e-15,0.843309274028041,0.946,0.898,8.12238400575472e-11
Rpl13a,7.41330922865398e-15,0.680464329923815,0.992,0.957,1.44144384641948e-10
Rpl37,1.0013878825409e-14,0.548676189794747,1,0.997,1.94709859881252e-10
Timp3,2.17226931323883e-14,1.96237335755332,0.592,0.27,4.22376045266159e-10
Myl12a,2.53616669958418e-14,-1.08037637653957,0.615,0.908,4.93132253067148e-10
Ubb,5.28817060779219e-14,-1.03077346109166,0.777,0.974,1.02823189297911e-09
Pglyrp1,8.52718590193298e-14,-1.19981732617036,0.485,0.812,1.65802602677185e-09
Slc31a1,1.0825914864898e-13,-1.67566568437189,0.254,0.684,2.10499088633077e-09
Col4a1,2.78297568511892e-13,-1.48990903554933,0.277,0.691,5.41121792214523e-09
Pfn1,3.69016676059046e-13,-1.08303145456509,0.5,0.875,7.17516024929209e-09
Malat1,3.06718559207724e-12,0.563661074137721,1,1,5.96383566523498e-08
Cd81,4.08967346712823e-12,-0.996555546502504,0.723,0.938,7.95196108948413e-08
Bsg,5.29815455528446e-12,-0.670877601095631,0.969,0.987,1.03017317172951e-07
Actg1,7.1872222395243e-12,-0.856498633558646,0.692,0.905,1.3974834922531e-07
Pcp4l1,7.21745728796244e-12,1.27698303585772,0.7,0.447,1.40336239507142e-07
Tpd52l1,1.34559071696916e-11,-3.90714655881085,0.015,0.319,2.61636659007482e-07
