,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Dlk1,5.24557150758302e-17,-5.21648331598607,0.013,0.788,1.01994892393444e-12
Ubb,6.577597144875e-15,-1.53049894807084,0.961,1,1.27894798884949e-10
Xist,5.23285026881776e-13,-2.54870976796573,0.105,0.879,1.01747540626893e-08
Slc16a1,3.63198408652188e-12,5.76248482702226,0.842,0.121,7.06202985783314e-08
Cd81,6.46802294870872e-12,-1.08755242386992,1,1,1.25764238214692e-07
Ftl1,1.34774391129653e-11,-0.681214404605004,1,1,2.62055326112498e-07
Rpl35,2.21848290779555e-11,-0.845757987777011,1,1,4.31361816591766e-07
Mest,3.26069393478752e-10,-2.61917580997513,0.421,0.879,6.34009328680085e-06
Rps29,7.12666282258543e-10,-0.588375672558568,1,1,1.38570831922351e-05
Serpinh1,1.01634726805899e-08,-0.950163183962401,0.974,1,0.000197618562801389
H19,1.37376391354683e-08,-6.35708294344632,0.026,0.455,0.000267114655350045
Rps27,1.61551123081593e-08,-0.613517564486328,1,1,0.00031412000371985
Mmp11,2.07727735548119e-08,-3.74453411825383,0.013,0.424,0.000403905808999762
Igfbp2,2.37967615897756e-08,-3.3767425029073,0.092,0.576,0.000462704232351597
Cdkn1c,2.4358578883577e-08,-2.1970515684994,0.276,0.848,0.000473628207812271
Ndufa3,2.60770812354019e-08,-1.11333152087384,0.855,1,0.000507042767541154
Ddx41,4.86690739712391e-08,-2.3353020105834,0.132,0.636,0.000946321474296773
Maged2,5.79427096227767e-08,-1.84117383726971,0.342,0.788,0.00112663804590527
Hmcn1,7.24054154573838e-08,2.96379089435464,0.776,0.273,0.00140785089815337
H3f3b,8.38547413967694e-08,-0.704597756451237,1,1,0.00163047159171878
Rpl12,9.70030309195378e-08,0.880032047473192,1,0.97,0.00188612693319949
Rplp1,1.55005474367648e-07,0.651934715519751,1,1,0.00301392644360456
Mfap2,1.81187041240493e-07,-2.88056919801152,0.118,0.576,0.00352300082988015
Fam101b,2.21202458833514e-07,2.24042641185598,0.789,0.455,0.00430106060955884
Rps8,2.54744528391625e-07,0.55313166143948,1,1,0.00495325261004675
Hspa5,2.95437137015466e-07,-1.11979194669736,0.724,1,0.00574447969212872
Gm10076,3.2536162529869e-07,-0.905794113136482,0.947,1,0.00632633144230773
Rps12,4.01087491698912e-07,0.924553927791017,0.987,1,0.00779874518859364
Car4,4.70546914815109e-07,2.54817982978182,0.776,0.424,0.00914931421166497
Erh,5.25787634818667e-07,-1.10598742690514,0.895,1,0.0102234147714142
Rpl41,7.18401815007879e-07,-0.440253651879882,1,1,0.0139686048910132
Pdia4,9.59515086870929e-07,-2.35944362969095,0.224,0.667,0.0186568113491183
Dynll1,1.00641099735325e-06,-0.529836022727828,0.974,1,0.0195686554325365
Pdia6,1.26316405126703e-06,-1.24026088973525,0.618,0.97,0.0245609618128361
Atp5k,1.32364615884299e-06,-0.963476989287583,0.882,0.97,0.0257369759125431
mt-Atp6,1.8271814756106e-06,-0.411382850945676,1,1,0.0355277166117724
Emp3,1.93487193634088e-06,-2.31151291183147,0.158,0.576,0.037621649930212
Sec61g,2.29513375746417e-06,-0.645162763644315,0.961,1,0.0446265807801334
Pfn1,2.29550476899417e-06,-0.638497206103642,1,1,0.0446337947283227
Rpl37a,2.52992902191852e-06,-0.401704034528732,1,1,0.0491919399021838
Usmg5,3.21053600429363e-06,-1.04066952832386,0.842,0.97,0.0624256620674853
Ctla2a,3.63123211322126e-06,1.64692770591113,0.921,0.758,0.0706056772094742
Slc25a4,3.71116744896496e-06,-0.848327450726126,0.921,1,0.0721599398776746
Sri,3.99508352836284e-06,-0.875454660993183,0.842,0.939,0.0776804041254871
Tfrc,4.45429459238618e-06,1.73126926025164,0.829,0.576,0.086609304054357
Gnai2,5.77574277981665e-06,0.887138268594812,0.961,0.939,0.112303542610755
Snrnp27,9.33938739685936e-06,-1.49000995563063,0.474,0.788,0.181595048544533
Rpl13a,9.48015757320162e-06,0.364412046466981,1,1,0.184332183853332
Pcolce,1.1253743506008e-05,-1.74240179196845,0.092,0.485,0.21881778873082
Serf2,1.36411031752892e-05,-0.44329297111212,0.987,1,0.265237610140323
Spcs2,1.36475751159812e-05,-1.07378546087096,0.671,0.97,0.265363450555139
Rpl37,1.89409950085557e-05,-0.310756311256881,1,1,0.368288706946357
Dpm3,2.06360866504162e-05,-1.04118242173089,0.671,0.879,0.401248068830692
Nkain4,2.46764725369865e-05,-3.57606642092832,0.026,0.303,0.479809332009166
Hspa8,2.69391672080485e-05,-0.632780008967577,0.961,1,0.523805167193295
Srp14,3.14522656284167e-05,-0.784815604400904,0.816,1,0.611557852878933
Sgce,3.18882288611731e-05,-2.01770038784817,0.184,0.545,0.62003472197665
Dus2,3.77563490710792e-05,-10.5523425387093,0,0.212,0.734134451338064
Nampt,3.78992057634914e-05,1.17522842698696,0.868,0.788,0.736912156865328
Slc25a5,4.32970458133507e-05,-0.757147852914718,0.961,0.97,0.841867758794792
Emp1,4.42995705487755e-05,-3.3154111269433,0.066,0.364,0.861360849750391
Selk,4.91658031586044e-05,-0.587455358686706,0.934,1,0.955979876615904
Ly6e,5.47579783572319e-05,1.6844560630184,0.75,0.515,1
Ablim1,5.54192408562723e-05,1.49260208779082,0.789,0.515,1
Laptm4a,5.584804791825e-05,-0.607214982346241,0.987,0.97,1
Cd63,6.38567945060727e-05,-1.43858656613366,0.513,0.758,1
Rbm3,6.51024648230292e-05,0.885512549575285,0.974,0.939,1
Sparc,6.69642944913028e-05,0.605274072094277,1,1,1
Gpx8,6.71765027784478e-05,-1.47154279462384,0.289,0.667,1
Eno1,7.05104001617156e-05,-0.828438442545142,0.776,1,1
Abhd17a,7.15855241340463e-05,1.31546989011827,0.829,0.606,1
Lgals9,7.66495806400498e-05,5.00307661654956,0.408,0.03,1
Sub1,7.905388968622e-05,-0.585190731276628,0.987,1,1
Cthrc1,8.15942140550398e-05,-1.49271187982975,0.434,0.727,1
Hnrnpk,8.58330624663905e-05,-0.549184320768459,0.961,1,1
Pdia3,8.67265025836748e-05,-0.788866331028693,0.842,0.939,1
Tmbim6,8.67265025836748e-05,-0.739339741230539,0.816,1,1
Krtcap2,8.72826818477368e-05,-0.696232194157098,0.868,0.939,1
Eef2k,9.02427918050309e-05,-1.98271897122822,0.079,0.394,1
Tsix,9.42368509700922e-05,-3.78679659081977,0.026,0.273,1
Sarnp,9.52296826414039e-05,-1.23832138057593,0.461,0.818,1
Rac1,9.82012513876954e-05,0.721692092394868,0.961,0.879,1
Ranbp1,0.000100227444754187,-0.913841756517115,0.789,0.939,1
Rps20,0.000103900458906085,0.482364223410482,1,1,1
Phb,0.000106447254052585,-1.57778317978362,0.211,0.606,1
Cox7b,0.000109345203557239,-0.647427521174739,0.895,1,1
Igf2,0.000113373110505459,-1.34277436721368,0.434,0.758,1
Pla2g7,0.00011596521900861,-2.80574779875496,0.026,0.273,1
Gm8186,0.00011782861129472,-1.0851509609322,0.355,0.758,1
Sec11a,0.000125686240125822,-1.0431652592384,0.566,0.848,1
Fam162b,0.000134346898596629,-1.60076726954796,0.118,0.424,1
Nrip2,0.00014697938746453,-11.0764127368947,0,0.182,1
Ggh,0.000149476871567244,-1.92886286477592,0.158,0.485,1
Ppp1r12a,0.000152234963236317,-1.65206157059172,0.237,0.576,1
Ppp1r35,0.000161993335958806,-1.58480869609009,0.197,0.545,1
Ap2m1,0.00016343281921662,-0.646919110439435,0.789,0.97,1
Fn1,0.00016691684863433,1.24719576496769,0.868,0.758,1
Dad1,0.000172155235171527,-0.709347609690544,0.895,1,1
Ten1,0.000173296042264366,-1.49493460890592,0.132,0.485,1
Esyt2,0.000173421144092642,3.56479070111661,0.421,0.061,1
Rpl26,0.00018198257120127,-0.486157661236934,1,1,1
Tomm7,0.000182486977071681,-0.724962496800272,0.816,0.939,1
Rasl11a,0.000195685267773131,-1.11910380881999,0.118,0.455,1
Prdx1,0.000202061119416368,-0.607225461892973,0.974,1,1
Polr2k,0.000202780604620784,-0.833569570930326,0.605,0.909,1
Tgfb1i1,0.000215857754375164,-1.610842236514,0.224,0.545,1
Cstf1,0.000219168460418499,-3.76667176068725,0.039,0.273,1
Unc45b,0.000223699151906267,3.54254435008741,0.421,0.061,1
Stmn1,0.000223880571062429,-1.2659900445909,0.789,0.97,1
Vdac3,0.000229224010341263,-0.866162591575319,0.579,0.879,1
Gng11,0.000230099054838234,-0.507598749474758,0.974,1,1
Dhrs13,0.000244508979852282,-4.31745707482134,0.026,0.242,1
Arl6ip5,0.000247147221907849,-1.03589435016265,0.684,0.909,1
Rpf1,0.000270383300393477,-1.38274692866249,0.197,0.545,1
Gpatch1,0.000273279672381941,-4.2056524699914,0.013,0.212,1
Anxa2,0.000284550473367111,-0.875301832183193,0.684,0.939,1
8430408G22Rik,0.000285147101552909,-4.17318822486084,0.026,0.242,1
Nkd2,0.00029155553413908,-2.02756648039719,0.145,0.455,1
Cox7c,0.000297475666753217,-0.475547756920204,1,1,1
Vtn,0.00030030623548264,-0.672288136380068,0.5,0.788,1
Ppt2,0.000309040947862117,-2.11179651814242,0.237,0.576,1
