,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Gm8730,2.74326120850194e-48,-3.73024612342601,0.28,1,5.33399709381118e-44
Igfbp4,1.73979562426677e-40,-3.50207122967251,0.099,0.816,3.3828586118243e-36
Slc1a4,7.89763402617305e-40,-3.86391488736422,0.049,0.697,1.53561596004909e-35
Dusp2,4.78500466564484e-37,-3.89871303669528,0.026,0.605,9.30396307187982e-33
Rpl13a,3.28436232305926e-36,-1.3579385102796,0.957,1,6.38611410095643e-32
Rps11,6.08808288547948e-36,-1.57519503592656,0.951,1,1.18376683625263e-31
Rpl10a,6.70914453993579e-35,-1.85717019956395,0.816,1,1.30452606434512e-30
Rpl32,1.48212934219744e-34,-1.36414692514006,0.977,1,2.88185229296869e-30
Rps8,2.01622968269671e-34,-1.37425955340089,0.938,1,3.92035699503548e-30
Rpl23,4.95959890489997e-33,-1.35162506838444,0.941,1,9.6434441106875e-29
Rpl18,1.22555864852224e-32,-1.57673720197372,0.803,1,2.38297623618664e-28
Slco1a4,1.69815474291575e-32,5.33263589488079,0.895,0.171,3.30189208212539e-28
Rpl12,1.86311125137803e-32,-1.93101704158633,0.625,1,3.62263351717945e-28
Eef1a1,1.00392260804713e-31,-1.51332121608995,0.914,1,1.95202711908684e-27
Rps7,1.16563805567978e-30,-1.30987170042307,0.964,1,2.26646663546377e-26
Rpl7,1.93615204025219e-30,-1.28649316547649,0.914,1,3.76465402706635e-26
Rps23,2.37423470445351e-30,-1.0778785211466,0.944,1,4.6164619593394e-26
Rps9,4.47300714441832e-30,-1.13998138078275,0.951,1,8.69731509160698e-26
Rps20,7.23508940170648e-30,-1.4773104212721,0.875,1,1.40679078326781e-25
Rps16,8.64368189283911e-30,-0.951848225518081,0.977,1,1.68067750724364e-25
Rpl17,1.01373529105775e-29,-1.24400706342175,0.924,1,1.97110689993269e-25
Rps27a,1.79007096967615e-29,-1.15625873283283,0.951,1,3.4806139934383e-25
Rpsa,2.21516282269547e-29,-1.70153566294438,0.694,0.987,4.30716259244906e-25
Rpl28,2.49809305940471e-29,-1.42384688776872,0.905,1,4.85729214470652e-25
Marcksl1,2.78754062141266e-29,-2.41029468618707,0.178,0.855,5.42009398427478e-25
Rps24,3.06365173626625e-29,-1.27636301541895,0.934,1,5.9569644359961e-25
Rplp2,4.81823111044714e-29,-1.3491549517341,0.895,1,9.36856857115341e-25
Fabp7,6.67103994748212e-29,-2.48491942588791,0.056,0.605,1.29711700738842e-24
Rps15a,1.23062674616381e-28,-1.2500614923774,0.947,1,2.3928306452409e-24
Rps10,2.98513668261582e-28,-1.37871301025873,0.809,1,5.8042997656782e-24
Tpt1,2.01189169909283e-27,-1.16070547333966,0.938,1,3.9119222197161e-23
Rpl7a,2.55290704252645e-27,-1.61211509577746,0.602,1,4.96387245348844e-23
Trf,3.11797073172493e-27,-2.21228475451197,0.086,0.645,6.06258229076596e-23
Rpl4,7.81200222851219e-27,-1.2797074361393,0.865,1,1.51896571331191e-22
Rps14,9.4121442202566e-27,-0.815652317235241,1,1,1.83009732218669e-22
Rpl11,1.399646794562e-26,-1.13308874077571,0.898,1,2.72147322734635e-22
Rpl10,2.30999899583166e-26,-1.18057247519006,0.905,1,4.49156204749508e-22
Rps3a1,2.5678620825002e-26,-1.0303142285501,0.97,1,4.99295103321338e-22
Rplp1,2.62951770533704e-26,-1.13740036770735,0.934,1,5.11283422625734e-22
Fabp5,2.63880570888531e-26,-2.79666733748378,0.141,0.75,5.1308938203566e-22
Gnb2l1,1.50110261233556e-25,-1.67522306888895,0.549,0.974,2.91874391942527e-21
Rps12,1.87313301119308e-25,-1.5899474238351,0.763,0.987,3.64211982696383e-21
Rps4x,2.3261213404237e-25,-0.994257983337597,0.97,1,4.52291033431984e-21
Rps13,3.20195898069711e-25,-1.26085507109129,0.842,1,6.22588904206747e-21
mt-Atp6,7.69006382568821e-25,0.969280604286793,1,1,1.49525601026682e-20
Slc7a8,1.03450651702065e-24,-3.58274607829936,0.023,0.434,2.01149447169495e-20
Rpl8,1.17000039310612e-24,-1.07293004937091,0.947,1,2.27494876435555e-20
Malat1,1.6665290378649e-24,1.32394203686014,1,1,3.2403990612245e-20
Rpl19,2.33075061861058e-24,-1.03061048507039,0.921,1,4.53191150282642e-20
Hbb-bs,1.51827152962125e-23,-3.28615613122035,0.046,0.487,2.95212716219556e-19
Rps15,1.92639207459103e-23,-1.04621880859242,0.914,1,3.7456767498348e-19
Cotl1,3.17803417675104e-23,-2.53399394808391,0.089,0.605,6.17936965327473e-19
Actg1,3.18981146158851e-23,-1.10290373844668,0.905,1,6.20226940591269e-19
