,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
Nrgn,6.29964735830672e-208,-1.00636972895125,0.365,0.651,1.22490343234916e-203,Nrgn
Syt13,2.69445879053537e-124,-1.3041044491167,0.089,0.271,5.23910567231698e-120,Syt13
Icam5,3.12717634832156e-121,-0.946796632446288,0.169,0.386,6.08048169167643e-117,Icam5
Paqr9,2.10623219875294e-115,-0.98625999418154,0.133,0.331,4.09535788725521e-111,Paqr9
Camk2a,6.35946145356462e-112,-0.654409020201848,0.479,0.691,1.2365336850311e-107,Camk2a
Tuba4a,2.39700374745428e-90,-0.779571846773536,0.161,0.346,4.66073408655011e-86,Tuba4a
AI593442,5.32630100194662e-88,-0.755953629697576,0.253,0.453,1.0356459668185e-83,AI593442
Eef1a2,2.33937195214779e-79,-0.790786258460517,0.141,0.305,4.54867482375617e-75,Eef1a2
Neat1,3.69529876335158e-78,2.02856277466379,0.196,0.088,7.18513891546082e-74,Neat1
Frrs1l,1.9402500088534e-74,-0.530450081891066,0.294,0.502,3.77262211721456e-70,Frrs1l
Tmem114,9.90690232419929e-74,-2.42191156424588,0.013,0.093,1.92629808791731e-69,Tmem114
Npnt,2.00905172765875e-71,-1.0645033154576,0.074,0.196,3.90640017925968e-67,Npnt
Fam163b,1.07858108281973e-68,-0.647174739875501,0.169,0.33,2.09719305743467e-64,Fam163b
Lor,4.65303523037968e-67,-1.10145937490266,0.045,0.146,9.04736170195024e-63,Lor
Kcnc3,1.07316878506806e-65,-0.546173916842673,0.193,0.361,2.08666938568633e-61,Kcnc3
Gpr37l1,2.46767244315295e-61,0.801786019590413,0.306,0.18,4.7981422984666e-57,Gpr37l1
Kcnj16,2.68265744125892e-60,2.93955540005818,0.077,0.017,5.21615912878385e-56,Kcnj16
Gnal,7.89659676214982e-59,-0.702114841480712,0.09,0.208,1.53541427443241e-54,Gnal
Tspan7,7.06827442609978e-55,0.657980040737286,0.648,0.626,1.37435527941084e-50,Tspan7
Fam19a2,1.13014970312879e-49,-0.502895030917695,0.169,0.307,2.19746308276363e-45,Fam19a2
Cdk5r2,8.28464581524192e-49,-0.545306678450139,0.1,0.21,1.61086653231564e-44,Cdk5r2
Rasgrf2,2.17761363646264e-45,-0.533138724202743,0.113,0.224,4.23415195473796e-41,Rasgrf2
Atp1b2,1.85432085072226e-44,0.766038057662309,0.452,0.377,3.60554146214436e-40,Atp1b2
Adap1,1.24724347528976e-43,-0.602323836577145,0.069,0.158,2.42514021335341e-39,Adap1
Slc1a2,9.73896452011354e-41,0.752022294083789,0.612,0.588,1.89364426129088e-36,Slc1a2
Padi2,2.10386674472467e-40,2.06281069914039,0.116,0.054,4.09075849844266e-36,Padi2
Lrrc10b,4.28478402284477e-39,-0.892668961534118,0.04,0.108,8.33133405401937e-35,Lrrc10b
Hepacam,2.42848494272169e-38,1.07768284802746,0.22,0.139,4.72194612262805e-34,Hepacam
Ntsr2,5.12714271630602e-38,0.778034957128732,0.265,0.173,9.96921629758542e-34,Ntsr2
Plekhb1,8.83953010931296e-35,1.41231558455499,0.169,0.102,1.71875823445481e-30,Plekhb1
Rasgrp1,1.24651632784757e-33,-0.759853541920773,0.101,0.185,2.42372634786681e-29,Rasgrp1
Slc6a7,1.17209784073087e-30,-1.11710889656901,0.021,0.067,2.27902704151709e-26,Slc6a7
Prkcg,3.94738527264407e-29,-0.559197623090475,0.066,0.133,7.67529592412912e-25,Prkcg
Sox10,2.48317348830223e-28,1.60012657752125,0.131,0.076,4.82828253065485e-24,Sox10
Capn3,2.00434706669769e-27,-0.818693485458609,0.031,0.079,3.897252436487e-23,Capn3
Gpr17,2.46545878123071e-27,1.51934784974729,0.096,0.048,4.79383805422499e-23,Gpr17
Kcng2,2.42151116183636e-25,-0.995070585586731,0.022,0.062,4.70838630307462e-21,Kcng2
Fam107a,4.22378071033471e-22,0.846028375266241,0.182,0.123,8.21271921317481e-18,Fam107a
Epas1,2.25100309882193e-21,1.319187369611,0.123,0.077,4.37685042534937e-17,Epas1
Gprc5b,3.87387820695036e-21,0.948040800315567,0.259,0.212,7.53236878559427e-17,Gprc5b
Atp2b3,1.40138140266004e-20,-0.925220900578762,0.018,0.05,2.72484599933219e-16,Atp2b3
Itga7,1.59862724423194e-18,-0.882254133280675,0.019,0.05,3.10837081368459e-14,Itga7
Slc6a11,4.2893560809368e-17,0.994327343853832,0.219,0.173,8.34022396377351e-13,Slc6a11
Gpr68,5.46788004132671e-14,-0.951394706719554,0.012,0.034,1.06317459523557e-09,Gpr68
Pllp,8.14278737480852e-12,0.789135144887322,0.131,0.094,1.58328357715777e-07,Pllp
Myo6,7.29791931934779e-11,0.884695532160864,0.195,0.164,1.41900743245398e-06,Myo6
Gm10605,4.1359287351819e-10,1.007667058094,0.157,0.129,8.04189983268768e-06,Gm10605
Slc7a10,5.21090031282012e-10,0.849761207328908,0.104,0.074,1.01320745682474e-05,Slc7a10
Serpina3n,2.06024580482018e-09,1.06363683019478,0.163,0.138,4.00594194289235e-05,Serpina3n
Slc39a12,3.73406417605805e-08,0.578776397245374,0.131,0.101,0.000726051438392728,Slc39a12
AI464131,3.57827163286788e-05,0.797021489836363,0.077,0.06,0.695759136294831,AI464131
Dio2,0.0001135526804634,0.771747387969456,0.068,0.053,1,Dio2
Dtna,0.000851390161859918,0.674976254819452,0.246,0.251,1,Dtna
Baalc,0.0009385495055893,1.17327705967046,0.057,0.046,1,Baalc
Bhlhe41,0.00452321512579602,0.613848085727634,0.165,0.158,1,Bhlhe41
