,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
Icam5,0,4.03116082560248,0.386,0.066,0,Icam5
Camk2a,0,3.85188295450147,0.691,0.192,0,Camk2a
Tuba4a,0,3.37590036076395,0.346,0.085,0,Tuba4a
AI593442,0,2.90096184514944,0.453,0.133,0,AI593442
Nrgn,0,1.54392044019148,0.651,0.347,0,Nrgn
Eef1a2,2.7165766168929e-303,3.01668730731745,0.305,0.095,5.28211157388655e-299,Eef1a2
Frrs1l,2.26445346062e-293,1.86918433209819,0.502,0.319,4.40300330882952e-289,Frrs1l
Syt13,2.65520739159243e-293,3.26379563801288,0.271,0.073,5.16278525221232e-289,Syt13
Kcnc3,3.11878439273454e-273,2.41429439533599,0.361,0.155,6.06416437323304e-269,Kcnc3
Fam163b,1.70004816924267e-244,2.31541248486505,0.33,0.135,3.30557366027544e-240,Fam163b
Bhlhe41,9.91330527952886e-233,4.03838136259671,0.158,0.02,1.92754307855159e-228,Bhlhe41
Tspan7,7.08063518342778e-215,1.18469957447711,0.626,0.479,1.3767587050657e-210,Tspan7
Paqr9,9.78703839035007e-194,2.24490467242523,0.331,0.166,1.90299174461967e-189,Paqr9
Fam19a2,3.78437829685995e-186,2.091387768563,0.307,0.142,7.35834516041449e-182,Fam19a2
Rasgrp1,2.63639669373707e-178,3.3845175295709,0.185,0.051,5.12620973130236e-174,Rasgrp1
Rasgrf2,2.65454125217122e-178,2.80034623719011,0.224,0.079,5.16149001072172e-174,Rasgrf2
Gprc5b,2.24156562532178e-176,2.61651619323646,0.212,0.069,4.35850020187567e-172,Gprc5b
Slc1a2,9.74833973675246e-161,2.92703585581301,0.588,0.469,1.89546717841415e-156,Slc1a2
Fam107a,5.25552590954751e-160,4.5232178220731,0.123,0.02,1.02188445785242e-155,Fam107a
Gpr37l1,1.45610797968451e-156,3.68828012729644,0.18,0.055,2.83125635569855e-152,Gpr37l1
Serpina3n,7.62482884583587e-136,2.8658316356561,0.138,0.034,1.48257172078433e-131,Serpina3n
Npnt,2.83591041018085e-117,1.94925454191608,0.196,0.08,5.51414420155564e-113,Npnt
Slc39a12,4.67119808852952e-111,3.68035629372333,0.101,0.021,9.08267756333679e-107,Slc39a12
Lrrc10b,6.34335920225147e-105,2.95964913084788,0.108,0.026,1.23340276328578e-100,Lrrc10b
Ntsr2,1.10705098488135e-103,3.46419167551676,0.173,0.073,2.1525499350033e-99,Ntsr2
Atp1b2,2.79010099941157e-90,1.89436810479602,0.377,0.273,5.42507238325585e-86,Atp1b2
Tmem114,2.1150551933779e-87,2.97156731913578,0.093,0.024,4.11251331800398e-83,Tmem114
Pllp,1.0706994148866e-75,3.25874724132208,0.094,0.029,2.08186794230551e-71,Pllp
Dtna,5.34117837488477e-70,1.51512115224401,0.251,0.158,1.03853872321259e-65,Dtna
Sox10,1.24389278209936e-61,2.43328576978852,0.076,0.022,2.41862512551399e-57,Sox10
Itga7,9.54522551681456e-52,2.99276561237324,0.05,0.011,1.85597364948942e-47,Itga7
Epas1,2.0818877177977e-50,2.16839815634842,0.077,0.027,4.04802247848585e-46,Epas1
Neat1,5.74556171531345e-45,2.06963633527919,0.088,0.037,1.11716701992555e-40,Neat1
Kcng2,1.55455327231269e-42,2.72173007927223,0.062,0.021,3.0226733826848e-38,Kcng2
Prkcg,1.39167674397878e-40,2.05841546588883,0.133,0.076,2.70597626099233e-36,Prkcg
Gm10605,1.47666134799832e-38,1.78946970397379,0.129,0.073,2.87122032504793e-34,Gm10605
Padi2,3.76802722184311e-33,2.04861411107149,0.054,0.019,7.32655213015175e-29,Padi2
Plekhb1,5.61329801466488e-32,1.72136573314463,0.102,0.055,1.09144966597144e-27,Plekhb1
Myo6,3.57644192957579e-28,1.28613178480161,0.164,0.113,6.95403368786716e-24,Myo6
Capn3,3.97247831199196e-27,1.63085677259262,0.079,0.041,7.72408682983717e-23,Capn3
Cdk5r2,4.89108825275277e-25,1.19876264047709,0.21,0.165,9.51023199865249e-21,Cdk5r2
AI464131,3.07685555268407e-23,1.9037576161575,0.06,0.029,5.98263793663891e-19,AI464131
Gpr17,4.90735025546394e-23,2.26619914745803,0.048,0.02,9.54185183672409e-19,Gpr17
Slc6a11,1.74172465239592e-15,0.758611051329038,0.173,0.252,3.38660941411863e-11,Slc6a11
Lor,4.26652299449201e-12,1.29607657412461,0.146,0.119,8.29582731049026e-08,Lor
Hepacam,9.64401937095772e-12,1.22387745273593,0.139,0.111,1.87518312648902e-07,Hepacam
Gnal,2.00442397403286e-11,1.0439586674895,0.208,0.186,3.89740197510949e-07,Gnal
Slc7a10,5.48120689809244e-09,1.46523954964071,0.074,0.054,0.000106576586926509,Slc7a10
Adap1,3.52681859968614e-06,1.03319276254298,0.158,0.144,0.0685754608522973,Adap1
Kcnj16,8.48329872712073e-06,1.4203092023577,0.017,0.01,0.164949260450135,Kcnj16
Atp2b3,1.03772324298875e-05,1.27182035273777,0.05,0.037,0.201774907366732,Atp2b3
Baalc,2.67674673238994e-05,1.24627388281208,0.046,0.034,0.520466634645899,Baalc
Slc6a7,3.86610453640202e-05,1.41768620600485,0.067,0.053,0.751725366058009,Slc6a7
Dio2,0.000114399216124185,1.21935029123168,0.053,0.041,1,Dio2
Gpr68,0.000323866872284957,1.38306654167865,0.034,0.025,1,Gpr68
